Iteration	Posterior	Likelihood	Prior	age_uapaca	birth_rate	clock_rate	death_rate	denom	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	root_time	sf[1]	sf[2]	sf[3]	sf[4]	turnover
610	-14405.3	-14312.69	-92.60527	77.74087	0.2232196	0.0005419999	0.03645295	0.8366946	0.1867666	0.233148	0.216929	0.0867949	0.0964065	0.309995	0.0567267	77.74087	0.265951	0.187943	0.259458	0.286647	0.1633054
620	-14397.07	-14306.07	-91.00852	100.9024	0.2682614	0.0005540201	0.05637381	0.7898549	0.2118876	0.152779	0.232548	0.0894316	0.0839694	0.377726	0.0635462	100.9024	0.280804	0.184475	0.254003	0.280719	0.2101451
630	-14398.62	-14312.28	-86.33508	85.34933	0.3335671	0.0007112248	0.149725	0.5511398	0.1838421	0.126823	0.281088	0.101592	0.0638234	0.312668	0.114006	85.34933	0.27375	0.172458	0.257644	0.296149	0.4488602
640	-14365.21	-14285.29	-79.91919	82.96687	0.3940507	0.000922908	0.08155495	0.7930344	0.3124958	0.149512	0.297551	0.107509	0.0351032	0.310641	0.0996838	82.96687	0.266317	0.180695	0.283843	0.269146	0.2069656
650	-14378.35	-14306.79	-71.5554	81.91233	0.3765126	0.001402585	0.1234365	0.6721582	0.253076	0.146438	0.216921	0.140075	0.0577034	0.314449	0.124414	81.91233	0.277126	0.181417	0.273362	0.268096	0.3278418
660	-14397.85	-14318.33	-79.52228	73.28722	0.4531146	0.001306108	0.07298556	0.8389247	0.380129	0.190914	0.201035	0.0955792	0.122994	0.303984	0.0854938	73.28722	0.279464	0.172016	0.267164	0.281356	0.1610753
670	-14390.78	-14317.83	-72.95242	85.02434	0.5143087	0.001411691	0.1257053	0.755584	0.3886034	0.166931	0.27817	0.0834113	0.0287228	0.338693	0.104072	85.02434	0.248654	0.18506	0.272525	0.293761	0.244416
680	-14386.46	-14305.24	-81.21647	79.39503	0.261652	0.001007888	0.04611685	0.8237474	0.2155352	0.186084	0.333728	0.0723483	0.0536384	0.26729	0.0869113	79.39503	0.261124	0.190178	0.265179	0.283519	0.1762526
690	-14365.05	-14277.96	-87.08688	105.4905	0.1850893	0.0007176404	0.02381573	0.8713284	0.1612735	0.133402	0.191565	0.100128	0.059399	0.402819	0.112686	105.4905	0.281341	0.177473	0.271164	0.270023	0.1286716
700	-14373.6	-14287.64	-85.96223	95.99163	0.1803419	0.0006664492	0.0796782	0.5581826	0.1006637	0.179272	0.281537	0.0864299	0.0598026	0.301944	0.0910137	95.99163	0.2609	0.178229	0.288059	0.272812	0.4418174
710	-14377.44	-14290.45	-86.99695	119.0522	0.243704	0.0007359498	0.05090725	0.7911104	0.1927968	0.154516	0.237886	0.0613789	0.105279	0.373294	0.0676463	119.0522	0.259528	0.173044	0.283727	0.283701	0.2088896
720	-14369.94	-14290.14	-79.79423	106.6825	0.3456045	0.001059209	0.1096303	0.6827869	0.2359742	0.0954674	0.274341	0.0668565	0.113856	0.367829	0.0816506	106.6825	0.25602	0.177808	0.275815	0.290358	0.3172131
730	-14356.73	-14276.43	-80.29906	106.7598	0.3452279	0.0008312834	0.198824	0.4240791	0.1464039	0.193446	0.276267	0.0725845	0.0881127	0.284662	0.0849273	106.7598	0.270901	0.16535	0.277789	0.28596	0.5759209
740	-14355.62	-14266.44	-89.18306	117.2803	0.1989098	0.0005867471	0.06806813	0.6577939	0.1308416	0.188108	0.223593	0.0604465	0.086847	0.352007	0.0889988	117.2803	0.273258	0.176536	0.281556	0.26865	0.3422061
750	-14379.74	-14298.51	-81.2332	89.2891	0.3170063	0.0008949495	0.09693937	0.6942037	0.220067	0.123137	0.23013	0.0734096	0.107553	0.362299	0.103472	89.2891	0.290035	0.175162	0.25809	0.276712	0.3057963
760	-14354.16	-14267.58	-86.58546	89.10471	0.296255	0.0007027947	0.1381707	0.5336089	0.1580843	0.151518	0.254479	0.0651631	0.0889527	0.339117	0.10077	89.10471	0.256559	0.178422	0.272766	0.292253	0.4663911
770	-14348.22	-14260.5	-87.72355	113.1291	0.2161273	0.0006085904	0.02664375	0.876722	0.1894836	0.130635	0.25595	0.0935778	0.0497613	0.375943	0.0941336	113.1291	0.2727	0.177572	0.26447	0.285258	0.123278
780	-14354.45	-14273.07	-81.37901	83.48159	0.2777558	0.00084176	0.05906791	0.7873387	0.2186879	0.169853	0.226615	0.0607251	0.0738527	0.383801	0.0851533	83.48159	0.264416	0.178719	0.274079	0.282786	0.2126613
790	-14354.49	-14275.39	-79.10176	81.97545	0.4631412	0.0009387351	0.2012369	0.5654956	0.2619043	0.187675	0.18215	0.0960841	0.0999803	0.36337	0.0707407	81.97545	0.281016	0.159176	0.280293	0.279515	0.4345044
800	-14366.06	-14277.27	-88.79071	98.91188	0.1743135	0.0006840891	0.02347231	0.8653443	0.1508412	0.203576	0.184248	0.0816124	0.0716337	0.350168	0.108761	98.91188	0.264676	0.173324	0.287016	0.274984	0.1346557
810	-14370.86	-14283.38	-87.48085	74.93154	0.1970037	0.0006624707	0.09937733	0.495556	0.09762637	0.214568	0.242668	0.104344	0.0536075	0.333997	0.0508155	74.93154	0.272328	0.171371	0.272223	0.284078	0.504444
820	-14379.26	-14289.52	-89.73624	98.54581	0.2085294	0.0005674619	0.06810157	0.6734198	0.1404278	0.210358	0.222027	0.0954684	0.110693	0.303376	0.0580779	98.54581	0.267688	0.170498	0.274501	0.287313	0.3265802
830	-14390.49	-14305.86	-84.6304	69.06116	0.3007268	0.0007820442	0.009170242	0.9695064	0.2915566	0.207437	0.234478	0.0750319	0.106174	0.293457	0.0834225	69.06116	0.274327	0.177879	0.258443	0.289351	0.03049359
840	-14397.59	-14308.95	-88.64852	104.9817	0.4007088	0.0006856232	0.1517879	0.6212014	0.2489209	0.241134	0.215089	0.0787558	0.0740363	0.275955	0.11503	104.9817	0.271119	0.171492	0.283788	0.273601	0.3787986
850	-14352.16	-14270.18	-81.98659	100.2613	0.2544636	0.000820574	0.1187487	0.5333372	0.1357149	0.135668	0.231558	0.0920778	0.115488	0.359488	0.065721	100.2613	0.278938	0.176851	0.269895	0.274316	0.4666628
860	-14370.86	-14282.15	-88.71162	88.87551	0.2027041	0.0006432164	0.1408564	0.3051132	0.06184768	0.132794	0.209519	0.0742763	0.0579408	0.419728	0.105743	88.87551	0.277302	0.174743	0.279847	0.268108	0.6948868
870	-14365.3	-14273.83	-91.4714	140.8035	0.3196107	0.0006365501	0.1019431	0.6810397	0.2176676	0.101276	0.315315	0.100057	0.0664987	0.29828	0.118573	140.8035	0.263625	0.175052	0.267478	0.293845	0.3189603
880	-14355.35	-14273.34	-82.00166	72.44296	0.3717577	0.0009477325	0.1326664	0.6431374	0.2390913	0.186649	0.284302	0.0817375	0.0558545	0.286233	0.105224	72.44296	0.262278	0.171427	0.270023	0.296271	0.3568626
890	-14348.23	-14267.48	-80.7548	109.5184	0.3319306	0.0008794952	0.1186999	0.6423954	0.2132307	0.162916	0.261323	0.0648465	0.06284	0.362707	0.0853668	109.5184	0.276685	0.177199	0.265572	0.280544	0.3576046
900	-14350.26	-14270.28	-79.97857	83.55331	0.2881388	0.00107805	0.03772757	0.8690646	0.2504112	0.165985	0.269796	0.0774805	0.0687676	0.308986	0.108984	83.55331	0.276479	0.183041	0.264846	0.275634	0.1309354
910	-14338.97	-14259.54	-79.42702	86.27855	0.3389218	0.001037659	0.06186411	0.8174679	0.2770577	0.141163	0.254142	0.0858117	0.0887722	0.34221	0.0879004	86.27855	0.279648	0.166896	0.273822	0.279634	0.1825321
920	-14353.95	-14269.06	-84.88874	86.50912	0.4494482	0.0008212926	0.3752022	0.1651938	0.07424607	0.1503	0.270593	0.098738	0.0447715	0.364361	0.0712359	86.50912	0.265357	0.17729	0.27718	0.280173	0.8348062
930	-14351.65	-14267.68	-83.97187	81.19068	0.3311249	0.0008522132	0.1438756	0.5654945	0.1872493	0.179227	0.297569	0.0683696	0.0542004	0.297235	0.103399	81.19068	0.261828	0.183503	0.264527	0.290142	0.4345055
940	-14379.4	-14294.37	-85.02789	108.193	0.2829748	0.0006578007	0.03748997	0.8675148	0.2454849	0.236664	0.207486	0.0450775	0.0657629	0.353879	0.0911305	108.193	0.262527	0.172945	0.283276	0.281251	0.1324852
950	-14360.29	-14276.55	-83.73415	96.67392	0.4694202	0.0007703156	0.3108712	0.337755	0.158549	0.158082	0.268751	0.122143	0.0430376	0.326821	0.0811654	96.67392	0.27705	0.17923	0.268134	0.275586	0.662245
960	-14358.74	-14278.59	-80.15299	87.48287	0.2219744	0.0009911324	0.03096846	0.8604863	0.1910059	0.16299	0.211745	0.108333	0.0564771	0.36955	0.0909052	87.48287	0.282984	0.161692	0.271654	0.283671	0.1395137
970	-14346.11	-14266.36	-79.75208	77.21356	0.4846533	0.001132882	0.04073462	0.915951	0.4439187	0.143113	0.253727	0.0690759	0.0545652	0.369757	0.109761	77.21356	0.261525	0.172581	0.278815	0.287079	0.08404899
980	-14334.81	-14260.73	-74.07768	83.94682	0.357632	0.001262907	0.1058224	0.7041027	0.2518097	0.134544	0.240958	0.0879668	0.0820436	0.363843	0.0906447	83.94682	0.275806	0.171008	0.268561	0.284625	0.2958973
990	-14345.27	-14265.69	-79.58264	80.98337	0.5464516	0.0008297982	0.2740395	0.498511	0.2724121	0.152454	0.273033	0.0757995	0.0621885	0.342404	0.0941211	80.98337	0.285915	0.171681	0.262412	0.279992	0.501489
1000	-14362.17	-14277.71	-84.46055	104.5682	0.3253496	0.0006644534	0.188948	0.4192463	0.1364016	0.13704	0.265967	0.059552	0.122239	0.312754	0.102448	104.5682	0.261687	0.180828	0.277559	0.279927	0.5807537
