state	power	likelihood
270	0.729136	-14255.7
280	0.729136	-14263.4
290	0.729136	-14252.8
300	0.729136	-14263.4
310	0.729136	-14255.8
320	0.729136	-14261.6
330	0.729136	-14263.6
340	0.729136	-14250.7
350	0.729136	-14251.1
360	0.729136	-14255
370	0.729136	-14253.4
380	0.729136	-14255.1
390	0.729136	-14255.4
400	0.729136	-14252.5
410	0.729136	-14253.5
420	0.729136	-14251.4
430	0.729136	-14261.5
440	0.729136	-14254.8
450	0.729136	-14250.7
460	0.729136	-14257.6
470	0.729136	-14263.1
480	0.729136	-14251.5
490	0.729136	-14254.9
500	0.729136	-14255
510	0.729136	-14258.8
520	0.729136	-14252.7
530	0.729136	-14253.8
540	0.729136	-14249.9
550	0.729136	-14251.5
560	0.729136	-14260.5
570	0.729136	-14259.7
580	0.729136	-14264
590	0.729136	-14262.3
600	0.729136	-14270
610	0.729136	-14261.4
620	0.729136	-14263
630	0.729136	-14260.5
640	0.729136	-14258.1
650	0.729136	-14255.8
660	0.729136	-14271.9
670	0.729136	-14253.2
680	0.729136	-14258.3
690	0.729136	-14257
700	0.729136	-14251.3
710	0.729136	-14253.1
720	0.729136	-14255.6
730	0.729136	-14263.1
740	0.729136	-14261.1
750	0.729136	-14267.5
760	0.729136	-14261.2
770	0.729136	-14249.2
780	0.729136	-14253.2
790	0.729136	-14261.3
800	0.729136	-14258.2
810	0.729136	-14249.2
820	0.729136	-14250.4
830	0.729136	-14266.5
840	0.729136	-14248
850	0.729136	-14257.8
860	0.729136	-14260
870	0.729136	-14262.3
880	0.729136	-14260.1
890	0.729136	-14257.6
900	0.729136	-14261.6
910	0.729136	-14259.6
920	0.729136	-14260.4
930	0.729136	-14256.3
940	0.729136	-14257.3
950	0.729136	-14251.9
960	0.729136	-14258.1
970	0.729136	-14253.9
980	0.729136	-14252.6
990	0.729136	-14254.4
1000	0.729136	-14256.8
260	0.653254	-14258.8
270	0.653254	-14270.1
280	0.653254	-14261.3
290	0.653254	-14267.4
300	0.653254	-14262.8
310	0.653254	-14268.9
320	0.653254	-14270.2
330	0.653254	-14252.2
340	0.653254	-14258.8
350	0.653254	-14258.3
360	0.653254	-14259.2
370	0.653254	-14262.2
380	0.653254	-14258.8
390	0.653254	-14255.2
400	0.653254	-14258.6
410	0.653254	-14255.2
420	0.653254	-14264
430	0.653254	-14278.3
440	0.653254	-14267.7
450	0.653254	-14259.2
460	0.653254	-14267.4
470	0.653254	-14267.7
480	0.653254	-14263.7
490	0.653254	-14264.2
500	0.653254	-14260.6
510	0.653254	-14270.8
520	0.653254	-14270.3
530	0.653254	-14267.1
540	0.653254	-14257.8
550	0.653254	-14262.6
560	0.653254	-14264.6
570	0.653254	-14260.3
580	0.653254	-14254.6
590	0.653254	-14267.5
600	0.653254	-14251.4
610	0.653254	-14261.8
620	0.653254	-14264.5
630	0.653254	-14260.7
640	0.653254	-14257.6
650	0.653254	-14270.2
660	0.653254	-14269.3
670	0.653254	-14261.4
680	0.653254	-14254.7
690	0.653254	-14256.6
700	0.653254	-14259.4
710	0.653254	-14265.1
720	0.653254	-14269.1
730	0.653254	-14255.6
740	0.653254	-14258.3
750	0.653254	-14264.2
760	0.653254	-14260.1
770	0.653254	-14262.1
780	0.653254	-14258.3
790	0.653254	-14250.8
800	0.653254	-14251.7
810	0.653254	-14261.8
820	0.653254	-14252.9
830	0.653254	-14255.7
840	0.653254	-14269.3
850	0.653254	-14260
860	0.653254	-14253
870	0.653254	-14252.2
880	0.653254	-14254.6
890	0.653254	-14253.1
900	0.653254	-14253.9
910	0.653254	-14259.3
920	0.653254	-14257.7
930	0.653254	-14251.8
940	0.653254	-14253
950	0.653254	-14252.2
960	0.653254	-14260.3
