state	power	likelihood
410	0.583825	-14243.7
420	0.583825	-14216.6
430	0.583825	-14225
440	0.583825	-14233.1
450	0.583825	-14226.3
460	0.583825	-14232.2
470	0.583825	-14227.8
480	0.583825	-14222.8
490	0.583825	-14225.2
500	0.583825	-14236.7
510	0.583825	-14232.8
520	0.583825	-14238.3
530	0.583825	-14222
540	0.583825	-14230.3
550	0.583825	-14245.4
560	0.583825	-14237.7
570	0.583825	-14235.8
580	0.583825	-14223.2
590	0.583825	-14220.1
600	0.583825	-14235
610	0.583825	-14236.6
620	0.583825	-14228.1
630	0.583825	-14235.4
640	0.583825	-14219.1
650	0.583825	-14216.8
660	0.583825	-14223.9
670	0.583825	-14225
680	0.583825	-14232.2
690	0.583825	-14230.7
700	0.583825	-14237.6
710	0.583825	-14233.1
720	0.583825	-14217.6
730	0.583825	-14229.8
740	0.583825	-14234.7
750	0.583825	-14248.6
760	0.583825	-14257.9
770	0.583825	-14232.7
780	0.583825	-14224.2
790	0.583825	-14226.2
800	0.583825	-14221.4
810	0.583825	-14238.7
820	0.583825	-14237.6
830	0.583825	-14237.4
840	0.583825	-14227.1
850	0.583825	-14222.8
860	0.583825	-14232.8
870	0.583825	-14222.6
880	0.583825	-14231.3
890	0.583825	-14222.2
900	0.583825	-14225.5
910	0.583825	-14227.7
920	0.583825	-14228.8
930	0.583825	-14229.2
940	0.583825	-14230.4
950	0.583825	-14222.9
960	0.583825	-14251.7
970	0.583825	-14239.7
980	0.583825	-14230.4
990	0.583825	-14222.5
1000	0.583825	-14241.9
260	0.520429	-14237.7
270	0.520429	-14228
280	0.520429	-14245.1
290	0.520429	-14230.9
300	0.520429	-14234.9
310	0.520429	-14239.6
320	0.520429	-14249.5
330	0.520429	-14228.3
340	0.520429	-14235.7
350	0.520429	-14242.6
360	0.520429	-14237.1
370	0.520429	-14224
380	0.520429	-14229.2
390	0.520429	-14228.4
400	0.520429	-14226.7
410	0.520429	-14246.5
420	0.520429	-14242.3
430	0.520429	-14234.9
440	0.520429	-14226.9
450	0.520429	-14235.6
460	0.520429	-14221.1
470	0.520429	-14233.5
480	0.520429	-14232.7
490	0.520429	-14232.9
500	0.520429	-14253.8
510	0.520429	-14239.7
520	0.520429	-14245.5
530	0.520429	-14229
540	0.520429	-14244.5
550	0.520429	-14235.5
560	0.520429	-14258.2
570	0.520429	-14237.1
580	0.520429	-14240.7
590	0.520429	-14237.9
600	0.520429	-14258.4
610	0.520429	-14241.2
620	0.520429	-14238.1
630	0.520429	-14246.4
640	0.520429	-14234.3
650	0.520429	-14262.8
