Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_plstm	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_plstm[1]	rates_plstm[2]	rates_plstm[3]	rates_plstm[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
640	-255448.4	-255325	-123.4105	52.74105	0.0307518	0.0005325955	-0.02663749	0.122302	0.265646	0.118216	0.102418	0.270666	0.120752	0.1222127	1.47553e-20	1.81551e-10	0.00014498	3.99986	0.299231	0.180121	0.212783	0.307865	0.09557521	1.278707
650	-255453.4	-255330.7	-122.7257	52.74105	0.0417629	0.0005414243	-0.01494184	0.122131	0.260876	0.117439	0.101745	0.284711	0.113098	0.0499792	2.1381e-15	6.90446e-08	0.00170522	3.99829	0.299231	0.180121	0.212783	0.307865	0.03503736	1.426454
660	-255452.4	-255329.7	-122.71	52.74105	0.009348462	0.0005419247	0.02299159	0.122306	0.262471	0.121909	0.108546	0.270863	0.113905	0.03745509	2.22108e-65	7.05688e-33	7.2626e-14	4	0.301161	0.177439	0.212869	0.308532	0.06044667	0.6196385
670	-255452.8	-255330	-122.7704	52.74105	0.03011023	0.0005495986	0.03154995	0.119346	0.27221	0.117051	0.108023	0.267479	0.115891	0.07109097	5.64725e-21	1.12322e-10	0.000118792	3.99988	0.300777	0.178488	0.212597	0.308138	0.1026409	0.6926182
680	-255457.4	-255334.6	-122.7855	52.71765	0.05663697	0.0005339808	0.003230639	0.126609	0.258008	0.117931	0.10579	0.276036	0.115625	0.0506369	1.30295e-11	5.38314e-06	0.0103944	3.9896	0.300777	0.178488	0.212597	0.308138	0.05386754	0.9400262
690	-255450.7	-255327.6	-123.1292	52.71765	0.01178639	0.0005346871	0.07924473	0.119983	0.263423	0.118388	0.111406	0.270726	0.116074	0.01872309	4.65003e-52	3.22824e-26	4.21968e-11	4	0.300777	0.178488	0.212597	0.308138	0.09796782	0.1911147
700	-255457.7	-255334.1	-123.6551	52.71765	0.03130289	0.0005487503	-0.07738138	0.126109	0.268684	0.119427	0.0957271	0.275519	0.114533	0.106217	3.2627e-20	2.69955e-10	0.000170921	3.99983	0.300777	0.178488	0.212597	0.308138	0.02883566	3.683531
710	-255451.3	-255328.6	-122.7023	52.71765	0.00918606	0.0005298798	-0.03179803	0.123574	0.270146	0.120077	0.100841	0.270205	0.115157	0.04883214	1.61437e-66	1.90256e-33	4.21531e-14	4	0.301468	0.178897	0.210789	0.308846	0.01703411	2.866727
720	-255452.4	-255329.3	-123.1617	52.71765	0.04151468	0.0005317967	0.004763685	0.125006	0.264862	0.118115	0.110266	0.265791	0.115959	0.07816799	1.75328e-15	6.25245e-08	0.00163647	3.99836	0.300476	0.178999	0.210095	0.310429	0.08293168	0.9425589
730	-255454.7	-255331.9	-122.7439	52.71765	0.03409372	0.0005292254	-0.01669132	0.120608	0.261884	0.114679	0.108557	0.280111	0.114161	0.05934382	1.22396e-18	1.65304e-09	0.000362508	3.99964	0.300355	0.17903	0.210132	0.310483	0.04265249	1.391333
740	-255448.7	-255326.3	-122.4007	52.96667	0.03317394	0.0005365952	0.04772386	0.120443	0.261527	0.114522	0.108408	0.279728	0.115372	0.02201381	3.96483e-19	9.40905e-10	0.000286931	3.99971	0.299718	0.178997	0.211461	0.309824	0.06973767	0.315666
750	-255448.2	-255325.8	-122.3586	52.96667	0.01263187	0.0005381349	0.03796005	0.120072	0.260721	0.121335	0.103989	0.278867	0.115016	0.04350075	1.22007e-48	1.65347e-24	2.16133e-10	4	0.298897	0.181247	0.210881	0.308975	0.0814608	0.5340084
760	-255454.9	-255330.6	-124.3681	52.96667	0.003159612	0.0005314994	-0.007164849	0.117088	0.265406	0.11498	0.105407	0.283878	0.113241	0.02365819	1.58619e-191	5.96686e-96	4.82797e-40	4	0.299909	0.178475	0.211595	0.310021	0.01649334	1.434409
770	-255454.7	-255332.3	-122.3346	52.96667	0.0473325	0.0005380551	-0.0216771	0.129638	0.258462	0.112793	0.101384	0.279233	0.118489	0.06760705	1.0616e-13	4.86286e-07	0.00383279	3.99617	0.299821	0.178497	0.211622	0.31006	0.04592994	1.47196
780	-255460.2	-255337.2	-123.054	52.96667	0.04086922	0.0005163265	0.04227264	0.118316	0.26098	0.113792	0.108456	0.281954	0.116502	0.04079816	1.03481e-15	4.80373e-08	0.00146695	3.99853	0.303047	0.17731	0.213898	0.305745	0.0830708	0.4911251
790	-255456.3	-255333.8	-122.5411	52.96667	0.02115677	0.0005185901	-0.05998108	0.12548	0.253745	0.124034	0.112038	0.264354	0.120349	0.06456106	1.95264e-29	6.60988e-15	2.08665e-06	4	0.302753	0.178107	0.213691	0.305449	0.00457998	14.09636
800	-255454.1	-255330.7	-123.4152	52.96667	0.02184076	0.0005278503	-0.008395925	0.125484	0.253753	0.124039	0.112008	0.264362	0.120353	0.03868329	1.5197e-28	1.8439e-14	3.19401e-06	4	0.302182	0.177771	0.210782	0.309265	0.03028736	1.277209
810	-255449.3	-255325.5	-123.8722	52.96667	0.0110781	0.0005187646	-0.07720684	0.126314	0.255431	0.118748	0.112749	0.265609	0.121149	0.09516084	2.52117e-55	7.51736e-28	8.86332e-12	4	0.298942	0.17843	0.212085	0.310542	0.017954	5.300257
820	-255447.7	-255324.6	-123.1319	52.96667	0.02170712	0.0005226643	-0.01156242	0.124293	0.269195	0.116656	0.107223	0.26438	0.118254	0.07394737	1.02818e-28	1.51669e-14	2.94531e-06	4	0.298942	0.17843	0.212085	0.310542	0.06238495	1.18534
830	-255449.8	-255324.8	-124.9663	52.98567	0.003015005	0.0005222593	-0.01236625	0.12171	0.271361	0.117594	0.107149	0.265445	0.116741	0.02213382	1.15139e-200	1.60762e-100	6.12677e-42	4	0.299898	0.178187	0.211796	0.310118	0.009767568	2.266052
840	-255451.6	-255326	-125.5844	52.98567	0.02598149	0.00051442	0.07421816	0.120745	0.269208	0.117671	0.113222	0.26334	0.115815	0.06845052	3.75572e-24	2.89767e-12	2.6044e-05	3.99997	0.299658	0.178045	0.213239	0.309058	0.1426687	0.4797866
850	-255443.7	-255320	-123.7078	52.98567	0.003098988	0.0005213345	-0.06548552	0.121729	0.266369	0.121044	0.107056	0.266969	0.116834	0.1006898	2.96992e-195	8.16474e-98	8.13241e-41	4	0.298715	0.178284	0.213526	0.309475	0.0352043	2.860157
860	-255446.3	-255322.4	-123.9802	52.98567	0.03350724	0.0005229966	0.04823054	0.124568	0.255912	0.123186	0.105741	0.271692	0.118901	0.07373181	6.00792e-19	1.1582e-09	0.000312763	3.99969	0.298643	0.178303	0.213548	0.309506	0.1219623	0.6045457
870	-255443.7	-255320.6	-123.0569	52.98567	0.05209697	0.0005109965	0.006673336	0.123562	0.260927	0.119985	0.108572	0.275507	0.111448	0.04849233	1.54486e-12	1.85431e-06	0.00667907	3.99332	0.298643	0.178303	0.213548	0.309506	0.05516567	0.879031
880	-255451.2	-255325.8	-125.3991	52.98567	0.02408683	0.000514098	-0.02324556	0.124835	0.261506	0.124555	0.104022	0.265712	0.119371	0.1562112	5.65053e-26	3.55482e-13	1.09042e-05	3.99999	0.298737	0.178359	0.2133	0.309604	0.1329656	1.174824
890	-255455.4	-255328.8	-126.6242	52.98567	0.02157061	0.0005141746	-0.03552831	0.123408	0.26666	0.122694	0.109482	0.262676	0.11508	0.1929523	6.86364e-29	1.23921e-14	2.70842e-06	4	0.299302	0.178696	0.211813	0.310189	0.157424	1.225686
900	-255449.7	-255325.2	-124.4847	52.84139	0.009363946	0.0005168743	-0.04039874	0.128317	0.260562	0.11938	0.106978	0.275169	0.109594	0.1422457	2.83828e-65	7.97733e-33	7.64171e-14	4	0.299491	0.178809	0.212001	0.309698	0.101847	1.396661
910	-255446.9	-255323.4	-123.4598	52.84139	0.03914984	0.0005094218	-0.04009482	0.122571	0.26427	0.118722	0.106356	0.2778	0.110281	0.09949279	2.33353e-16	2.28149e-08	0.00107711	3.99892	0.299478	0.178846	0.211992	0.309684	0.05939797	1.67502
920	-255447.5	-255323.5	-123.9184	52.84139	0.02669988	0.0005185565	0.03468019	0.122118	0.264656	0.117781	0.105416	0.274137	0.115893	0.005175366	1.57808e-23	5.93936e-12	3.50784e-05	3.99996	0.299576	0.179056	0.211321	0.310047	0.03985556	0.1298531
930	-255447.1	-255322.9	-124.2099	52.84139	0.004096267	0.0005215212	0.003472425	0.127423	0.266927	0.118792	0.106321	0.265597	0.11494	0.1201499	5.90583e-148	3.64059e-74	5.31486e-31	4	0.299209	0.177986	0.213137	0.309668	0.1236224	0.971911
940	-255451.2	-255328.4	-122.8544	52.5551	0.002262861	0.0005185785	0.02953926	0.118141	0.259843	0.115013	0.106415	0.281345	0.119242	0.03697498	4.87181e-267	1.0458e-133	1.03163e-55	4	0.300366	0.178674	0.211631	0.309329	0.06651425	0.5558957
950	-255451.6	-255328	-123.6595	52.45404	0.05411068	0.0005159214	-0.01234304	0.1224	0.263099	0.113986	0.11105	0.268729	0.120736	0.1216264	4.15733e-12	3.04138e-06	0.00820145	3.9918	0.299615	0.178866	0.211859	0.309661	0.1092833	1.112945
960	-255449.5	-255326.7	-122.7981	52.39095	0.002105599	0.0005311164	0.0260976	0.123471	0.26181	0.119666	0.112022	0.271082	0.111949	0.05160998	6.54959e-287	1.21259e-143	7.75945e-60	4	0.299615	0.178866	0.211859	0.309661	0.07770758	0.6641564
