Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_ursinae	alpha_plstm	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_plstm[1]	rates_plstm[2]	rates_plstm[3]	rates_plstm[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
42	0	-257109.8	-257046.6	-63.23798	1.925138	0.0221893	0.01974206	-0.8229366	0.125725	0.276839	0.113028	0.103252	0.266665	0.114491	0.8697762	4.11844e-28	3.03536e-14	3.92795e-06	4	0.298984	0.180205	0.212798	0.308013	0.0468396	18.56925
43	1	-255723.2	-255611.9	-111.3327	34.31456	0.004260901	0.001015482	0.06284558	0.125489	0.262141	0.120875	0.109348	0.270877	0.11127	0.07907268	2.81993e-142	2.51562e-71	8.01625e-30	4	0.300392	0.179016	0.212724	0.307869	0.1419183	0.5571706
44	0	-257103.3	-257040.2	-63.13699	1.925138	0.01940934	0.01951016	-0.9459626	0.127859	0.261042	0.118045	0.105427	0.271193	0.116435	1.009811	5.35492e-32	3.46199e-16	6.13645e-07	4	0.298984	0.180205	0.212798	0.308013	0.06384804	15.81584
45	1	-255716.5	-255604.6	-111.8395	34.31456	0.003082578	0.0009888189	0.04715678	0.125579	0.262613	0.121093	0.107881	0.271364	0.11147	0.1094155	2.74504e-196	2.48225e-98	4.96141e-41	4	0.300182	0.179588	0.212576	0.307654	0.1565723	0.6988179
46	0	-257111.9	-257045.6	-66.25824	1.925138	0.01020973	0.01977724	-1.597727	0.127648	0.273339	0.114382	0.103331	0.269278	0.112021	1.742126	6.01586e-60	3.67237e-30	9.73721e-13	4	0.298984	0.180205	0.212798	0.308013	0.1443984	12.06472
47	1	-255651.6	-255537.4	-114.1399	43.89799	0.002898814	0.0008771511	0.05978468	0.121665	0.265508	0.116524	0.109834	0.269512	0.116958	0.1268509	1.14087e-208	1.60028e-104	1.3374e-43	4	0.300182	0.179588	0.212576	0.307654	0.1866356	0.6796715
48	0	-257113.1	-257046.9	-66.15871	1.925138	0.01058828	0.01917383	-1.225949	0.12583	0.269447	0.112753	0.10766	0.265443	0.118866	1.470171	7.71817e-58	4.15949e-29	2.66628e-12	4	0.298984	0.180205	0.212798	0.308013	0.2442219	6.019816
49	1	-255648.4	-255530.1	-118.2551	39.5749	0.01347071	0.0008925687	0.09629253	0.124425	0.263555	0.125	0.103483	0.267466	0.11607	0.2462756	1.13315e-45	5.03868e-23	8.92412e-10	4	0.300182	0.179588	0.212576	0.307654	0.3425681	0.7189098
50	0	-257103.6	-257040.5	-63.09908	1.925138	0.02544528	0.0187699	-1.108414	0.12018	0.259981	0.116432	0.109928	0.271776	0.121702	1.181344	1.22015e-24	1.65169e-12	2.06258e-05	3.99998	0.300427	0.179834	0.21236	0.307379	0.07293008	16.19831
51	1	-255592.8	-255475.1	-117.722	50.71862	0.01287987	0.0007934374	0.007942392	0.118848	0.267161	0.11921	0.106153	0.269562	0.119065	0.2085041	1.00938e-47	4.7558e-24	3.35073e-10	4	0.300182	0.179588	0.212576	0.307654	0.2164465	0.9633055
52	0	-257100.9	-257036.7	-64.2037	1.925138	0.02586753	0.01931725	-0.8302085	0.122415	0.257121	0.115151	0.108719	0.283683	0.112911	0.9496413	2.96905e-24	2.57641e-12	2.48046e-05	3.99998	0.300518	0.179811	0.212332	0.307339	0.1194329	7.951257
53	1	-255582.7	-255467	-115.6779	46.42875	0.02444591	0.0008078346	0.08767086	0.120336	0.257995	0.120702	0.109027	0.27614	0.115799	0.06934199	1.31586e-25	5.42455e-13	1.29944e-05	3.99999	0.300182	0.179588	0.212576	0.307654	0.1570128	0.4416326
54	0	-257094.2	-257031.1	-63.05607	1.925138	0.0281591	0.01908727	-1.133336	0.121464	0.266162	0.115731	0.106401	0.277636	0.112606	1.200432	2.32557e-22	2.27974e-11	6.12944e-05	3.99994	0.300518	0.179811	0.212332	0.307339	0.06709665	17.89109
55	1	-255581.3	-255465	-116.2746	44.38034	0.02523355	0.0007957506	0.01919663	0.128284	0.257177	0.117924	0.108681	0.272503	0.115431	0.111159	7.725e-25	1.31425e-12	1.87598e-05	3.99998	0.300182	0.179588	0.212576	0.307654	0.1303556	0.8527364
56	0	-257099.7	-257036.8	-62.91783	1.925138	0.006526151	0.01914316	-1.064085	0.121297	0.265796	0.115409	0.103304	0.277254	0.116939	1.122637	3.12862e-93	8.37751e-47	1.20674e-19	4	0.300518	0.179811	0.212332	0.307339	0.05855222	19.17326
57	1	-255575.4	-255459	-116.3892	44.59153	0.02943265	0.0007992485	-0.01521609	0.119478	0.262433	0.119657	0.110279	0.276508	0.111645	0.117707	1.95692e-21	6.61241e-11	9.53479e-05	3.9999	0.300182	0.179588	0.212576	0.307654	0.1024909	1.148463
58	0	-257099.6	-257034.4	-65.2422	1.904369	0.003092592	0.01937534	-1.636691	0.11855	0.269162	0.114781	0.105459	0.275745	0.116302	1.699205	1.17758e-195	5.14121e-98	6.71193e-41	4	0.300518	0.179811	0.212332	0.307339	0.06251399	27.18119
59	1	-255541.6	-255421.9	-119.679	46.69296	0.01906236	0.0007188711	0.1583689	0.121869	0.263776	0.119257	0.104231	0.277924	0.112944	0.002296748	1.45937e-32	1.80736e-16	4.68571e-07	4	0.300182	0.179588	0.212576	0.307654	0.1606656	0.0142952
60	0	-257095.9	-257030.5	-65.33148	1.904369	0.02348596	0.01925736	-1.350362	0.122398	0.26725	0.11638	0.10471	0.273786	0.115476	1.516183	1.29612e-26	1.70262e-13	8.03403e-06	3.99999	0.300518	0.179811	0.212332	0.307339	0.1658207	9.143507
61	1	-255535.9	-255417.7	-118.2738	51.35513	0.01765656	0.0007042775	0.1265402	0.1238	0.269285	0.121883	0.0994444	0.274727	0.110861	0.003198621	4.46274e-35	9.99576e-18	1.40942e-07	4	0.300182	0.179588	0.212576	0.307654	0.1297389	0.0246543
