Iteration	Posterior	Likelihood	Prior	er[1][1]	er[2][2]	extirpation_rate	log10_rate_bg	rate_bg
206	-22.92564	-21.08078	-1.844867	0.5646121	0.5646121	0.5646121	-3.801691	0.0001578735
207	-24.25371	-21.08072	-3.172987	1.589283	1.589283	1.589283	-3.801691	0.0001578735
208	-26.39315	-21.08052	-5.312631	2.602228	2.602228	2.602228	-3.871603	0.0001343992
209	-26.28183	-21.08151	-5.200326	2.547493	2.547493	2.547493	-3.532556	0.0002933892
210	-27.05405	-21.08458	-5.969477	2.92844	2.92844	2.92844	-3.093719	0.0008059005
211	-25.29248	-21.09353	-4.198949	2.07008	2.07008	2.07008	-2.663339	0.002171006
212	-23.62589	-21.09308	-2.532807	1.275795	1.275795	1.275795	-2.697285	0.002007776
213	-23.95231	-21.12039	-2.831919	1.425481	1.425481	1.425481	-2.210044	0.006165321
214	-23.79535	-21.08091	-2.714442	1.367623	1.367623	1.367623	-3.735011	0.0001840724
215	-22.86622	-21.08095	-1.785278	0.7551383	0.7551383	0.7551383	-3.735011	0.0001840724
216	-22.8798	-21.11058	-1.769221	0.6677097	0.6677097	0.6677097	-2.348486	0.004482431
217	-22.85464	-21.08541	-1.769221	0.6677097	0.6677097	0.6677097	-3.080491	0.0008308238
218	-23.74718	-21.10661	-2.640578	0.3549807	0.3549807	0.3549807	-2.415614	0.003840486
219	-22.99654	-21.08113	-1.915404	0.5236694	0.5236694	0.5236694	-3.680805	0.0002085427
220	-23.55243	-21.08108	-2.471347	1.243848	1.243848	1.243848	-3.680805	0.0002085427
221	-23.55782	-21.08647	-2.471347	1.243848	1.243848	1.243848	-2.993335	0.001015464
222	-23.70325	-21.13943	-2.563818	1.291725	1.291725	1.291725	-2.046037	0.008994217
223	-22.94803	-21.17086	-1.77717	0.7366447	0.7366447	0.7366447	-1.875647	0.01331536
224	-23.29847	-21.08401	-2.214457	1.102641	1.102641	1.102641	-3.192571	0.0006418429
225	-24.94908	-21.08583	-3.863248	1.912947	1.912947	1.912947	-3.020165	0.0009546296
226	-24.93916	-21.08614	-3.853016	1.908166	1.908166	1.908166	-2.99907	0.001002143
227	-25.40008	-21.08223	-4.317854	2.125966	2.125966	2.125966	-3.398484	0.0003994992
228	-24.05632	-21.17609	-2.880228	1.449011	1.449011	1.449011	-1.832941	0.01469125
229	-23.40684	-21.11354	-2.293304	1.147648	1.147648	1.147648	-2.297099	0.005045464
230	-23.1374	-21.1628	-1.974595	0.9481413	0.9481413	0.9481413	-1.910635	0.01228471
231	-23.05457	-21.0977	-1.956876	0.9348891	0.9348891	0.9348891	-2.576626	0.002650779
232	-23.1253	-21.08829	-2.037003	0.9920818	0.9920818	0.9920818	-2.896102	0.001270275
233	-22.97606	-21.08081	-1.895253	0.8848716	0.8848716	0.8848716	-3.781587	0.0001653535
234	-23.3048	-21.09482	-2.209985	1.10003	1.10003	1.10003	-2.648452	0.002246716
235	-23.6982	-21.48821	-2.209985	1.10003	1.10003	1.10003	-1.205254	0.062337
236	-23.2929	-21.37317	-1.919724	0.9055959	0.9055959	0.9055959	-1.358582	0.04379439
237	-23.49658	-21.09949	-2.397085	1.204472	1.204472	1.204472	-2.528922	0.002958547
238	-23.58036	-21.08136	-2.499002	1.258289	1.258289	1.258289	-3.600852	0.0002506963
239	-23.31293	-21.08058	-2.232346	1.113019	1.113019	1.113019	-3.873329	0.0001338663
240	-23.30259	-21.08351	-2.219088	1.105338	1.105338	1.105338	-3.246263	0.0005672011
241	-23.66185	-21.09551	-2.566339	1.293014	1.293014	1.293014	-2.624281	0.002375302
242	-23.04456	-21.08481	-1.959748	0.9370653	0.9370653	0.9370653	-3.122895	0.0007535376
243	-23.19297	-21.08062	-2.11235	0.4537493	0.4537493	0.4537493	-3.874092	0.0001336312
244	-23.78964	-21.13979	-2.64985	0.3537408	0.3537408	0.3537408	-2.066541	0.008579435
245	-23.50429	-21.16812	-2.336165	0.4032476	0.4032476	0.4032476	-1.897288	0.01266811
246	-24.11647	-21.09935	-3.017119	0.3117876	0.3117876	0.3117876	-2.553025	0.002798823
247	-24.67728	-21.09772	-3.579556	0.2653139	0.2653139	0.2653139	-2.591666	0.002560556
248	-23.7994	-21.08448	-2.714919	0.3453327	0.3453327	0.3453327	-3.165279	0.0006834731
249	-22.8589	-21.08251	-1.776397	0.6430666	0.6430666	0.6430666	-3.388479	0.0004088092
250	-23.06093	-21.08201	-1.978919	0.49654	0.49654	0.49654	-3.475755	0.0003343836
251	-23.17515	-21.11693	-2.058219	1.006247	1.006247	1.006247	-2.258982	0.005508301
252	-23.0069	-21.088	-1.918907	0.9049246	0.9049246	0.9049246	-2.913362	0.001220781
253	-22.97883	-21.19004	-1.788787	0.7618877	0.7618877	0.7618877	-1.791677	0.01615559
254	-23.33059	-21.19984	-2.130745	1.052472	1.052472	1.052472	-1.746908	0.01790985
255	-23.22153	-21.09079	-2.130745	1.052472	1.052472	1.052472	-2.784182	0.001643684
256	-22.89768	-21.08053	-1.817151	0.8045124	0.8045124	0.8045124	-3.908268	0.0001235186
257	-23.22034	-21.10108	-2.119252	1.045343	1.045343	1.045343	-2.49914	0.003168547
258	-22.86651	-21.09241	-1.774097	0.7277567	0.7277567	0.7277567	-2.732585	0.001851038
259	-23.29418	-21.08326	-2.210915	1.100574	1.100574	1.100574	-3.275106	0.0005307549
260	-25.50377	-21.08159	-4.422182	2.175137	2.175137	2.175137	-3.522172	0.0003004889
261	-24.96055	-21.12729	-3.833264	1.898939	1.898939	1.898939	-2.129844	0.00741576
262	-23.92438	-21.09398	-2.830398	1.424738	1.424738	1.424738	-2.665335	0.00216105
263	-23.47262	-21.16542	-2.307199	1.155399	1.155399	1.155399	-1.891841	0.01282802
264	-23.56563	-21.09384	-2.471792	1.244081	1.244081	1.244081	-2.674031	0.00211821
265	-23.16563	-21.08234	-2.083294	1.022582	1.022582	1.022582	-3.406063	0.0003925877
266	-22.84992	-21.08119	-1.768731	0.7041923	0.7041923	0.7041923	-3.661047	0.0002182496
267	-22.85018	-21.08145	-1.768731	0.7041923	0.7041923	0.7041923	-3.591773	0.0002559924
268	-22.96634	-21.16793	-1.798406	0.7781845	0.7781845	0.7781845	-1.888829	0.01291727
269	-22.88035	-21.08195	-1.798406	0.7781845	0.7781845	0.7781845	-3.481529	0.0003299676
270	-22.91126	-21.08329	-1.827974	0.8177605	0.8177605	0.8177605	-3.278062	0.0005271551
271	-22.85255	-21.08332	-1.769235	0.6676334	0.6676334	0.6676334	-3.278062	0.0005271551
272	-23.06853	-21.083	-1.985537	0.4940388	0.4940388	0.4940388	-3.32263	0.0004757408
273	-23.13557	-21.15004	-1.985537	0.4940388	0.4940388	0.4940388	-1.99464	0.01012418
274	-22.92758	-21.13721	-1.790377	0.6176513	0.6176513	0.6176513	-2.079244	0.008332136
275	-22.94152	-21.08272	-1.858807	0.8509576	0.8509576	0.8509576	-3.352602	0.000444015
276	-23.04624	-21.18744	-1.858807	0.8509576	0.8509576	0.8509576	-1.799813	0.01585575
277	-23.9748	-21.0917	-2.883108	1.450409	1.450409	1.450409	-2.740502	0.001817599
278	-23.96362	-21.08051	-2.883108	1.450409	1.450409	1.450409	-3.901942	0.000125331
279	-23.68275	-21.08322	-2.599527	1.309927	1.309927	1.309927	-3.275336	0.0005304743
280	-23.2247	-21.13184	-2.092866	1.028713	1.028713	1.028713	-2.111852	0.007729443
