Iteration	Posterior	Likelihood	Prior	er[1][1]	er[2][2]	extirpation_rate	log10_rate_bg	rate_bg
197	-18.29462	-16.52639	-1.768232	0.7000867	0.7000867	0.7000867	-0.3454243	0.4514147
198	-18.26267	-16.47736	-1.785307	0.7551979	0.7551979	0.7551979	-0.3272966	0.4706558
199	-18.28712	-16.43617	-1.850951	0.842995	0.842995	0.842995	-0.5057602	0.3120612
200	-19.01295	-17.08354	-1.929401	0.5171235	0.5171235	0.5171235	-0.7434176	0.1805437
201	-18.68288	-16.75347	-1.929401	0.5171235	0.5171235	0.5171235	-0.5375079	0.2900629
202	-18.27667	-16.4825	-1.794167	0.7713295	0.7713295	0.7713295	-0.3015452	0.4994072
203	-18.27012	-16.25972	-2.010392	0.9738039	0.9738039	0.9738039	-0.412995	0.3863714
204	-18.30014	-16.51793	-1.782217	0.7487378	0.7487378	0.7487378	-0.2929654	0.5093715
205	-18.5536	-16.77138	-1.782217	0.7487378	0.7487378	0.7487378	-0.6693152	0.2141336
206	-19.18032	-17.02426	-2.156056	1.06795	1.06795	1.06795	-0.8276765	0.1487043
207	-18.30758	-16.24944	-2.058135	1.006191	1.006191	1.006191	-0.4392736	0.3636858
208	-18.46499	-16.49502	-1.969965	0.9447173	0.9447173	0.9447173	-0.5938633	0.2547632
209	-20.25474	-16.86456	-3.390187	1.691697	1.691697	1.691697	-0.8480968	0.1418741
210	-21.09263	-15.36219	-5.730431	2.80846	2.80846	2.80846	-0.3285823	0.4692645
211	-18.90709	-16.02852	-2.878565	1.448203	1.448203	1.448203	-0.4909573	0.3228812
212	-18.48901	-16.06275	-2.42626	1.220053	1.220053	1.220053	-0.3243603	0.4738487
213	-18.46687	-16.21095	-2.255925	1.126542	1.126542	1.126542	-0.4867857	0.3259975
214	-19.13173	-15.78788	-3.34385	1.669923	1.669923	1.669923	-0.3465383	0.4502583
215	-18.27514	-16.29427	-1.980867	0.9527392	0.9527392	0.9527392	-0.3034543	0.4972166
216	-18.63474	-16.65387	-1.980867	0.9527392	0.9527392	0.9527392	-0.6720919	0.2127689
